image,prime1,prime2,jaccard_raw,jaccard_lemmatized,cosine_similarity
000000001490.jpg,P5_Urgent,P6_Leisure,0.05128205128205128,0.02197802197802198,0.4148317575454712
000000001503.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.029137946665287018
000000001503.jpg,P0_Neutral,P2_Security,0.11940298507462686,0.06930693069306931,0.48035842180252075
000000001503.jpg,P0_Neutral,P3_Child,0.0873015873015873,0.043478260869565216,0.42673128843307495
000000001503.jpg,P0_Neutral,P4_Mobility,0.10344827586206896,0.05813953488372093,0.5924232602119446
000000001503.jpg,P0_Neutral,P5_Urgent,0.16101694915254236,0.0449438202247191,0.5080819725990295
000000001503.jpg,P0_Neutral,P6_Leisure,0.0872093023255814,0.02857142857142857,0.29744765162467957
000000001503.jpg,P1_Chef,P2_Security,0.0,0.0,-0.02343718707561493
000000001503.jpg,P1_Chef,P3_Child,0.0,0.0,0.09423547983169556
000000001503.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.007712261751294136
000000001503.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.013205491006374359
000000001503.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.05947299674153328
